Line,Instruction Name,Extended-Mnemonic,,Syntax,Comments,
89,BRANCH RELATIVE ON CONDITION LONG,JLO,,RI2,Jump long on overflow or ones,
90,BRANCH RELATIVE ON CONDITION LONG,BRPL,,RI2,Branch on plus,
91,BRANCH RELATIVE ON CONDITION LONG,JLP,,RI2,Jump long on plus,
92,BRANCH RELATIVE ON CONDITION LONG,BRHL,,RI2,Branch on high,
93,BRANCH RELATIVE ON CONDITION LONG,JLH,,RI2,Jump long on high,
94,BRANCH RELATIVE ON CONDITION LONG,BRML,,RI2,Branch on minus or mixed,
95,BRANCH RELATIVE ON CONDITION LONG,JLM,,RI2,Jump long on minus or mixed,
96,BRANCH RELATIVE ON CONDITION LONG,BRLL,,RI2,Branch on low,
97,BRANCH RELATIVE ON CONDITION LONG,JLL,,RI2,Jump long on low,
98,BRANCH RELATIVE ON CONDITION LONG,BRNZL,,RI2,Branch on not zero(s),
99,BRANCH RELATIVE ON CONDITION LONG,JLNZ,,RI2,Jump long on not zero(s),
100,BRANCH RELATIVE ON CONDITION LONG,BRNEL,,RI2,Branch on not equal,
101,BRANCH RELATIVE ON CONDITION LONG,JLNE,,RI2,Jump long on not equal,
102,BRANCH RELATIVE ON CONDITION LONG,BRZL,,RI2,Branch on zero(s),
103,BRANCH RELATIVE ON CONDITION LONG,JLZ,,RI2,Jump long on zero(s),
104,BRANCH RELATIVE ON CONDITION LONG,BREL,,RI2,Branch on equal,
105,BRANCH RELATIVE ON CONDITION LONG,JLE,,RI2,Jump long on equal,
106,BRANCH RELATIVE ON CONDITION LONG,BRNML,,RI2,Branch on not minus,
107,BRANCH RELATIVE ON CONDITION LONG,JLNM,,RI2,Jump long on not minus,
108,BRANCH RELATIVE ON CONDITION LONG,BRNLL,,RI2,Branch on not low,
109,BRANCH RELATIVE ON CONDITION LONG,JLNL,,RI2,Jump long on not low,
110,BRANCH RELATIVE ON CONDITION LONG,BRNPL,,RI2,Branch on not plus,
111,BRANCH RELATIVE ON CONDITION LONG,JLNP,,RI2,Jump long on not plus,
112,BRANCH RELATIVE ON CONDITION LONG,BRNHL,,RI2,Branch on not high,
113,BRANCH RELATIVE ON CONDITION LONG,JLNH,,RI2,Jump long on not high,
114,BRANCH RELATIVE ON CONDITION LONG,BRNOL,,RI2,Branch on not overflow or not ones,
116,BRANCH RELATIVE ON CONDITION LONG,JLNO,,RI2,Jump long on not overflow or not ones,
118,BRANCH RELATIVE ON CONDITION LONG,BRUL,,RI2,Unconditional branch,
119,BRANCH RELATIVE ON CONDITION LONG,JLU,,RI2,Unconditional jump long,
120,BRANCH RELATIVE ON COUNT (32),JCT,,"R1,RI2",Jump on count,
121,BRANCH RELATIVE ON COUNT (64),JCTG,,"R1,RI2",Jump on count,
122,BRANCH RELATIVE ON COUNT HIGH,JCTH,,"R1,RI2",Jump on count high,
123,BRANCH RELATIVE ON INDEX HIGH (32),JXH,,"R1,R3,RI2",Jump on index high,
124,BRANCH RELATIVE ON INDEX HIGH (64),JXHG,,"R1,R3,RI2",Jump on index high,
125,BRANCH RELATIVE ON INDEX LOW OR EQUAL (32),JXLE,,"R1,R3,RI2",Jump on index low or equal,
126,BRANCH RELATIVE ON INDEX LOW OR EQUAL (64),JXLEG,,"R1,R3,RI2",Jump on index low or equal,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,Page
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,7-380
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,7-397
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,7-397
